Id,Job,Education,SmartWork,Experience_abroad,Nationality,City,Skills,Softkills,Age,Experience,Ideal_Salary,Language
298,Market analyst,Master D.,True,True,Pakistano,Pasturana,"Market research, Analysis of data, Analysis of competitors","Adaptability, Effective presentation, Teamwork",42,3,32150,"Pakistano, Messicano, Italiano"
299,Market analyst,Degree,False,False,Italiano,Parenti,"Models of business, Analysis of competitors, Analysis of trends, Strategies of the market, Analysis of data","Critical thinking, Adaptability, Teamwork, Problem solving",39,1,38565,Italiano
300,Architect,PhD,True,True,Danese,Valstagna,"Rhinoceros 3D, EnergyPlus","Spatial thought, Effective communication",39,8,45135,"Danese, Cubano, Inglese"
301,Operation manager,Degree,True,True,Tedesco,Loreto,"Management of operations, ERP, Logistics","Management of stress, Troubleshooting, Management of time",41,9,119216,Tedesco
302,Operation manager,PhD,True,True,Messicano,Gorzegno,"Quality Control, Management of operations, Logistics","Troubleshooting, Management of stress, Strategic planning",40,9,127641,"Messicano, Russo"
303,Operation manager,PhD,True,False,Italiano,Sassocorvaro,"Management of operations, Six Sigma","Management of stress, Management of time, Strategic planning, Troubleshooting",35,1,136625,"Italiano, Tedesco"
304,Architectural engineer,Master D.,False,True,Italiano,Dolianova,"Simulink, MATLAB, Solidworks","Communication, Management of time, Troubleshooting, Collaboration",31,3,47593,Italiano
305,Architect,PhD,False,False,Italiano,Borgo San Giacomo,"Coordination of the project, BIM, Rhinoceros 3D, Vectorworks","Collaboration, Attention to detail, Spatial thought, Creativity",51,15,52997,"Italiano, Israeliano, Cinese"
306,Web Developer,PhD,False,False,Cinese,Casella,"Ruby, Internet protocols, CSS","Effective communication, Teamwork, Ability to manage stress",27,0,62647,"Cinese, Colombiano, Italiano"
307,Marketing manager,Researcher,True,False,Italiano,Bosnasco,"Market research, Management of the brand, Planning of campaigns","Adaptability, Ability to adapt to new technologies, Creativity, Critical thinking",33,1,95158,Italiano
308,Financial consultant,Bachelor D.,False,False,Francese,Rezzago,"Economics, Actions, Financial markets","Empathy, Attention to detail, Customer orientation, Precision",26,1,32521,Francese
309,Financial consultant,Bachelor D.,False,False,Lituano,Motta Camastra,"Commercial Law, Personal financial planning, Actions","Customer orientation, Attention to detail, Empathy, Persuasive communication",31,4,42529,"Lituano, Inglese"
310,Doctor,Bachelor D.,False,True,Italiano,Boschi Sant'Anna,"Management of patients, Prevention, Diagnosis, Anatomy, Therapy","Ethics, Attention to the patient, Empathic communication",34,0,36196,"Italiano, Turco"
311,Architect,Bachelor D.,False,False,Italiano,Ferla,"Rhinoceros 3D, BIM, Asana, Vectorworks, Revit","Attention to detail, Spatial thought, Collaboration, Effective communication",34,3,40323,Italiano
312,Computer security analyst,Researcher,False,True,Israeliano,Rivalta Bormida,"Analysis of vulnerabilities, SELinux, Security of the networks, Incident Management","Innovation, Adaptability, Collaboration, Critical thinking",35,1,116039,Israeliano
313,Surgeon,PhD,False,False,Francese,Ghilarza,"Medical imaging, Surgical physiology, Operating block management, General Surgery, Surgical Anatomy","Decision making, Teamwork, Management of stress, Ethics, Patience",43,2,46813,Francese
314,Manager,PhD,False,False,Italiano,Salo',"Market expertise, Strategic planning","Analytical thinking, Innovation",39,7,81234,"Italiano, Tedesco"
315,Web Developer,PhD,False,False,Italiano,Viterbo,"SQL, Internet protocols, Design patterns, Angular, Ruby","Problem solving, Teamwork, Ability to manage stress, Innovation",38,9,46075,Italiano
316,Web Developer,Bachelor D.,True,True,Brasiliano,Civitella del Tronto,"SQL, Ruby, SQL, XAMPP, MySQL","Innovation, Teamwork, Flexibility, Ability to manage stress, Effective communication",41,16,64437,"Brasiliano, Italiano, Finlandese"
317,Web Developer,Master D.,False,False,Inglese,Bomporto,"Design patterns, Ruby, Internet protocols","Problem solving, Flexibility, Innovation, Ability to manage stress",42,13,52543,Inglese
318,Therapist,Master D.,False,False,Italiano,Carzano,"Confidentiality, Ethics, Theories of Behavior, Cognitive behavioral therapy","Confidentiality, Problem solving, Relational Skills, Ethics",39,11,30000,"Italiano, Tedesco, Irlandese"
319,Data Scientist,Master D.,True,True,Cubano,San Marcellino,"PyTorch, Statistical, TensorFlow, Python","Solving the problems, Teamwork",45,15,43416,Cubano
320,System administrator,Bachelor D.,False,False,Israeliano,Villadose,"Unix, Network, Cyber Security","Management of emergencies, Patience, Troubleshooting",43,9,43675,"Israeliano, Inglese, Egiziano"
321,Market analyst,Degree,False,True,Italiano,Saluzzo,"Analysis of competitors, Analysis of data, Analysis of trends, Market research","Critical thinking, Adaptability",37,2,50753,"Italiano, Cubano, Messicano"
322,Operation manager,PhD,False,True,Italiano,San Damiano Macra,"ERP, Quality Control, Six Sigma, Optimization of processes","Management of stress, Troubleshooting, Strategic planning, Management of time",45,9,116461,Italiano
323,Manager,Degree,False,True,Lituano,Lanciano,"Strategic planning, Negotiation, Team Management","Analytical thinking, Empathy",44,4,118951,Lituano
324,X-ray technician,Degree,False,False,Inglese,Bernate Ticino,"X-ray and scan reading, Preparation of patients, Use of imaging equipment, Radiological safety","Speed of learning, Organizational skills, Ethics, Empathy",45,0,25351,"Inglese, Tunisino"
325,Operation manager,Bachelor D.,False,False,Italiano,Recetto,"Quality Control, Logistics","Troubleshooting, Management of time, Strategic planning",52,13,141094,"Italiano, Portoghese, Russo"
326,Surgeon,PhD,False,True,Israeliano,Spinete,"Surgical physiology, Medical imaging, Operating block management","Decision making, Ethics",54,22,108344,Israeliano
327,Pharmacist,Bachelor D.,False,True,Inglese,Bedizzole,"Pharmacology, Dispensing of drugs","Communication, Precision",35,7,29688,"Inglese, Francese, Italiano"
328,Market analyst,Bachelor D.,True,True,Inglese,Mazzarrone,"Forecast, Strategies of the market, Analysis of competitors, Market research","Teamwork, Customer orientation, Adaptability",37,2,54189,"Inglese, Italiano"
329,Marketing manager,Bachelor D.,True,False,Italiano,Cagno,"Google Analytics, Planning of campaigns, CMS, Strategies of marketing, Hootsuite","Leadership, Management of the team",36,2,78191,"Italiano, Inglese"
330,System administrator,PhD,False,False,Inglese,San Germano Vercellese,"Cloud management, Unix, Cyber Security, Network, Linux","Troubleshooting, Management of emergencies, Patience",36,0,44704,"Inglese, Italiano"
331,Web Developer,Degree,False,False,Inglese,Piovera,"Design patterns, MySQL","Innovation, Problem solving",36,8,49741,Inglese
332,Data analyst,Degree,True,False,Italiano,Sovere,"R, Root, Database, Data Mining, SQL","Clear communication, Problem solving, Critical analysis, Proactivity",36,0,35945,"Italiano, Argentino, Inglese"
333,X-ray technician,Bachelor D.,False,False,Italiano,Testico,"Radiological safety, Use of imaging equipment","Communication, Confidentiality, Attention to detail, Precision",33,2,22674,"Italiano, Israeliano"
334,Pharmacist,Degree,False,False,Italiano,Inveruno,"Information on drugs, Pharmacology, Preparation of drugs","Organizational skills, Empathy, Precision, Communication, Attention to the customer",35,4,22790,Italiano
335,Pharmacist,Master D.,False,False,Cinese,Desenzano del Garda,"Information on drugs, Dispensing of drugs, Control of prescriptions, Management of the cash, Preparation of drugs","Organizational skills, Precision, Empathy, Knowledge of regulations",30,1,24232,Cinese
336,Teacher,Master D.,False,True,Inglese,Vaglia,"Mathematics, Chemistry, Physical education, Physics","Communication, Patience, Empathy",57,1,22353,"Inglese, Italiano, Norvegese"
337,Pharmacist,Bachelor D.,False,True,Italiano,Roncola,"Preparation of drugs, Management of the cash","Empathy, Attention to the customer, Precision, Communication, Knowledge of regulations",54,1,27327,Italiano
338,Financial analyst,Master D.,True,True,Italiano,Casalattico,"Financial analysis, Economic Law, Risk Management","Effective communication, Critical analysis, Problem solving",40,7,42909,Italiano
339,HR Consultant,Degree,True,False,Norvegese,San Martino Sannita,"HR Management, Industrial relations, Training and development","Empathy, Management of the conflict, Negotiation, Management of stress, Coaching",44,11,36163,Norvegese
340,Financial analyst,Bachelor D.,True,False,Israeliano,Oldenico,"Financial analysis, Assessment of investments, Financial markets","Attention to detail, Management of stress, Problem solving, Critical analysis, Effective communication",45,10,40142,"Israeliano, Cubano"
341,Financial analyst,Bachelor D.,False,False,Italiano,Capraia e Limite,"Economic Law, Assessment of investments, Economics, Financial markets","Problem solving, Critical analysis, Management of stress",28,0,32763,"Italiano, Messicano"
342,Therapist,PhD,False,False,Tunisino,San Pietro in Cariano,"Psychopharmacology, Confidentiality, Counseling, Cognitive behavioral therapy, Theories of Behavior","Relational Skills, Confidentiality, Problem solving, Active listening, Ethics",41,10,29670,"Tunisino, Italiano, Italiano"
343,X-ray technician,Master D.,False,True,Tedesco,Colmurano,"Use of imaging equipment, Radiological safety, Preparation of patients","Empathy, Organizational skills, Communication",35,4,24584,"Tedesco, Italiano"
344,Therapist,Researcher,False,True,Norvegese,Plati',"Cognitive behavioral therapy, Psychopharmacology, Ethics, Theories of Behavior","Relational Skills, Active listening, Empathy, Confidentiality, Ethics",34,1,24434,"Norvegese, Colombiano"
345,Market analyst,PhD,False,False,Tedesco,Marano Principato,"Forecast, Market research, Strategies of the market","Problem solving, Critical thinking, Customer orientation, Effective presentation, Adaptability",33,5,51430,"Tedesco, Italiano"
346,Therapist,Master D.,False,False,Italiano,Sant'Agata del Bianco,"Psychopharmacology, Cognitive behavioral therapy, Psychological evaluation, Counseling, Confidentiality","Empathy, Problem solving, Ethics, Active listening, Relational Skills",28,0,27661,Italiano
347,Designer,Bachelor D.,True,False,Norvegese,Ravarino,"Adobe After Effect, Adobe Illustrator, Adobe Photoshop, Prototyping, UI/UX Design","Creativity, Adaptability, Innovation, Empathy",29,7,43221,"Norvegese, Italiano"
348,Asset manager,Degree,False,False,Tedesco,Viterbo,"Economics, Investments, Financial planning","Negotiation, Strategic Thinking",52,18,60000,"Tedesco, Francese, Argentino"
349,System administrator,Degree,False,True,Inglese,Marano Principato,"Windows Server, Network, HTTP, Cyber Security","Management of emergencies, Troubleshooting",38,0,31107,"Inglese, Italiano"
